16	16	375
-1	-1	91&158&222	-1	295&0&49	1&259&2	-1	-1	-1	-1	-1	-1	-1	-1	0&51&36	153&241&21	
-1	-1	-1	-1	0&1&3	-1	1&5&12	0&264&48	-1	-1	225&269&286	327&219&318	1&9&172	-1	-1	0&13&64	
-1	0&237&374	-1	-1	-1	-1	-1	-1	0&2&6	309&130&73	-1	-1	0&19&65	-1	-1	158&356&293	
290&224&31	-1	-1	-1	-1	-1	-1	194&3&4	-1	334&0&212	-1	294&0&14	-1	-1	153&148&224	-1	
-1	-1	-1	1&144&109	-1	201&266&278	-1	-1	320&19&225	32&22&77	335&358&139	-1	-1	-1	-1	217&340&233	
-1	-1	-1	-1	0&5&63	103&133&173	32&284&183	55&371&41	-1	-1	175&272&55	-1	-1	-1	-1	-1	
-1	-1	-1	-1	86&148&320	-1	-1	-1	-1	-1	114&262&313	-1	-1	191&35&346	-1	-1	
-1	-1	-1	329&0&339	-1	-1	312&179&197	-1	99&157&186	-1	-1	-1	-1	52&319&224	-1	-1	
-1	-1	-1	-1	-1	-1	0&82&232	-1	-1	-1	-1	-1	277&243&132	184&241&229	-1	-1	
-1	-1	283&8&0	-1	-1	363&61&82	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
24&0&4	-1	274&251&360	-1	266&150&247	-1	-1	-1	-1	-1	257&125&124	-1	-1	-1	314&120&28	-1	
-1	-1	-1	116&0&1	-1	-1	-1	-1	306&101&243	-1	-1	162&27&283	-1	-1	-1	-1	
1&6&14	186&293&162	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29&237&307	344&140&299	169&140&66	
362&218&369	124&373&351	-1	30&177&88	-1	-1	-1	36&185&256	-1	-1	-1	146&291&320	-1	-1	-1	-1	
322&319&300	0&221&36	1&177&58	239&1&30	-1	39&92&124	-1	-1	344&4&205	3&331&173	-1	-1	345&51&321	-1	77&181&195	-1	
-1	294&100&91	211&55&300	-1	-1	-1	110&301&86	17&318&143	-1	90&224&138	-1	332&29&360	283&306&251	191&355&205	-1	-1	

