48	48	125
-1	-1	-1	-1	-1	-1	4&0	-1	-1	-1	-1	0&66	-1	1&84	-1	-1	-1	-1	1&80	-1	-1	0&24	-1	7&0	-1	1&24	-1	-1	-1	43&2	-1	0&14	-1	58&37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	97&32	
-1	-1	3&112	25&59	4&8	7&89	-1	-1	-1	-1	0&1	-1	73&56	-1	-1	-1	-1	-1	-1	-1	40&3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	123&6	-1	-1	34&8	-1	-1	34&67	-1	-1	-1	-1	38&109	-1	-1	-1	-1	
-1	-1	2&6	-1	1&74	-1	1&24	-1	-1	46&4	-1	-1	-1	-1	-1	-1	-1	85&18	101&0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	82&73	-1	0&6	-1	-1	-1	-1	2&10	-1	-1	-1	-1	-1	0&120	
-1	-1	-1	101&4	-1	-1	-1	-1	-1	17&1	-1	-1	-1	-1	-1	-1	-1	3&35	-1	-1	16&41	83&8	-1	-1	-1	65&2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4&28	-1	5&16	-1	66&84	-1	97&94	
75&1	-1	-1	-1	1&17	-1	-1	-1	-1	-1	-1	-1	-1	-1	88&101	0&60	-1	-1	-1	-1	98&51	0&85	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0&118	3&7	-1	-1	-1	-1	-1	-1	-1	-1	-1	70&42	-1	-1	-1	
-1	-1	-1	96&1	-1	55&88	-1	-1	-1	3&39	61&18	-1	-1	-1	-1	23&75	3&58	-1	-1	-1	-1	-1	-1	-1	-1	2&15	-1	-1	-1	-1	-1	-1	-1	-1	-1	60&1	-1	21&81	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	70&81	-1	5&81	114&40	-1	-1	-1	-1	-1	-1	47&0	-1	-1	13&3	-1	-1	2&77	-1	-1	1&14	-1	0&18	91&30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50&84	34&75	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	61&2	-1	90&16	-1	-1	-1	-1	-1	-1	0&2	-1	116&35	-1	-1	-1	59&58	-1	-1	-1	-1	-1	-1	-1	-1	-1	32&19	-1	0&33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
67&0	1&117	0&6	-1	111&4	-1	97&25	-1	-1	-1	-1	-1	-1	4&12	-1	-1	3&109	97&1	124&25	21&24	-1	-1	-1	1&74	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	115&4	-1	-1	-1	-1	-1	-1	6&0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5&45	-1	6&47	-1	-1	-1	-1	-1	-1	9&87	-1	0&15	-1	-1	91&5	-1	-1	2&84	-1	-1	-1	-1	113&89	-1	3&37	-1	28&63	-1	
-1	-1	97&2	-1	-1	-1	-1	-1	1&14	-1	-1	91&46	89&78	-1	-1	-1	-1	-1	-1	-1	49&29	-1	-1	-1	-1	79&54	-1	-1	-1	5&113	-1	-1	113&97	10&109	-1	-1	3&77	115&39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	3&5	-1	3&111	-1	10&26	-1	-1	-1	64&105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	54&121	4&49	-1	78&3	-1	-1	-1	4&10	110&84	-1	3&98	-1	-1	-1	
-1	15&0	-1	5&6	-1	-1	-1	-1	-1	-1	-1	-1	-1	69&39	-1	-1	-1	-1	27&18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0&2	-1	7&56	98&9	7&54	12&24	5&9	43&110	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	119&7	84&6	-1	-1	13&16	33&47	15&4	-1	-1	-1	-1	0&23	-1	-1	0&7	-1	-1	-1	-1	-1	-1	-1	2&74	-1	4&56	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	0&2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4&1	-1	-1	-1	-1	-1	-1	-1	112&77	-1	-1	64&86	-1	-1	-1	17&12	-1	3&44	123&115	93&118	-1	-1	-1	-1	-1	94&8	68&13	
1&67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1&97	-1	-1	-1	-1	-1	-1	9&5	-1	-1	-1	-1	-1	-1	-1	113&124	10&95	-1	-1	-1	-1	-1	101&11	26&69	-1	-1	5&36	-1	-1	2&79	-1	103&22	124&17	-1	-1	-1	
33&0	-1	-1	-1	-1	-1	8&33	2&11	-1	-1	-1	-1	-1	0&3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47&35	-1	-1	-1	-1	-1	-1	-1	-1	-1	1&45	15&14	40&5	-1	-1	-1	-1	-1	-1	96&107	-1	
43&1	-1	-1	1&110	-1	0&3	-1	-1	-1	-1	-1	-1	-1	-1	31&3	-1	-1	-1	-1	-1	-1	-1	37&117	-1	-1	7&100	-1	6&5	3&8	-1	40&50	35&11	-1	-1	106&93	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
2&57	-1	-1	-1	4&60	-1	23&26	-1	-1	-1	-1	1&65	-1	-1	-1	-1	-1	-1	-1	34&92	-1	37&29	-1	-1	-1	-1	-1	-1	63&49	-1	-1	4&9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108&63	-1	
-1	-1	-1	-1	-1	6&1	-1	-1	-1	-1	-1	-1	-1	31&42	5&24	-1	-1	-1	-1	1&10	-1	-1	-1	-1	1&104	-1	-1	-1	8&42	3&6	121&44	-1	-1	-1	5&73	-1	-1	-1	64&44	-1	-1	56&116	-1	-1	-1	-1	-1	-1	
117&8	-1	-1	-1	0&6	-1	-1	-1	-1	0&86	-1	1&90	-1	-1	-1	123&61	-1	-1	-1	-1	-1	-1	53&0	-1	-1	-1	-1	-1	-1	-1	-1	7&68	74&117	-1	-1	-1	39&24	-1	91&79	-1	-1	-1	-1	-1	57&66	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	33&0	-1	-1	-1	5&4	-1	84&78	106&1	-1	108&87	-1	-1	-1	-1	-1	55&0	108&63	90&71	-1	-1	-1	-1	1&5	-1	-1	-1	-1	63&75	-1	-1	113&34	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	2&112	-1	-1	-1	-1	85&2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1&12	-1	-1	-1	48&1	-1	-1	11&6	-1	-1	-1	15&6	-1	-1	-1	-1	-1	-1	-1	37&23	-1	8&99	-1	-1	90&61	90&17	
-1	116&12	-1	-1	-1	-1	-1	-1	4&119	2&83	-1	-1	-1	10&17	57&96	1&41	-1	68&40	-1	108&100	112&18	-1	-1	-1	-1	87&92	30&29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	107&58	-1	-1	118&91	-1	-1	-1	-1	-1	-1	-1	81&3	-1	-1	16&18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99&14	-1	1&121	1&58	37&69	
-1	-1	86&14	-1	-1	-1	-1	-1	-1	-1	6&21	2&124	-1	-1	-1	-1	54&100	-1	-1	-1	72&6	-1	-1	-1	-1	-1	0&107	2&59	100&93	15&58	34&21	22&14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	4&65	1&8	-1	-1	96&94	-1	68&79	8&25	24&20	-1	-1	-1	-1	-1	-1	-1	102&117	-1	90&119	-1	-1	-1	-1	-1	-1	-1	-1	16&19	-1	-1	-1	-1	43&35	-1	-1	18&103	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	27&72	-1	-1	103&91	-1	-1	-1	-1	-1	107&12	-1	-1	-1	41&43	-1	-1	-1	-1	-1	-1	101&1	-1	-1	-1	-1	2&54	-1	28&100	-1	-1	-1	-1	-1	-1	98&51	10&101	37&92	-1	105&37	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	4&63	-1	-1	-1	1&89	-1	5&83	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1&112	0&96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23&90	17&0	-1	-1	25&5	-1	-1	41&122	59&24	-1	58&26	-1	-1	
-1	-1	-1	-1	-1	119&2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	54&50	-1	-1	-1	-1	3&115	-1	110&23	-1	71&8	-1	89&23	-1	-1	-1	-1	43&119	-1	-1	-1	25&57	-1	-1	16&13	102&3	15&42	-1	-1	-1	-1	-1	
0&94	-1	-1	-1	-1	-1	-1	12&13	-1	-1	-1	-1	60&1	-1	5&92	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98&110	-1	-1	-1	-1	-1	-1	-1	-1	-1	119&0	47&13	-1	86&26	-1	-1	-1	-1	61&96	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1&8	-1	-1	-1	-1	-1	-1	-1	-1	46&8	-1	-1	-1	-1	-1	-1	3&7	-1	-1	-1	91&7	-1	-1	-1	-1	-1	0&73	-1	-1	-1	34&32	91&6	48&6	64&8	64&96	8&2	-1	-1	
-1	-1	-1	-1	-1	-1	-1	2&24	-1	15&61	-1	-1	-1	-1	-1	11&41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	71&114	-1	-1	-1	51&0	60&40	21&61	-1	-1	-1	-1	-1	-1	-1	-1	21&107	-1	-1	-1	3&55	54&1	
-1	6&100	-1	-1	-1	10&8	5&70	-1	77&21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	122&10	-1	-1	-1	-1	-1	0&122	-1	-1	23&104	46&14	28&98	53&26	-1	-1	-1	-1	-1	15&30	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	2&120	-1	-1	-1	-1	-1	-1	-1	3&5	-1	31&111	-1	-1	-1	1&103	82&65	-1	-1	-1	-1	-1	10&20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35&75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	0&120	-1	-1	-1	2&26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0&29	0&27	-1	-1	-1	-1	-1	-1	-1	7&88	-1	-1	68&80	-1	-1	75&69	72&10	2&105	83&24	40&23	-1	-1	-1	
77&0	-1	-1	-1	-1	1&11	1&36	-1	72&13	-1	10&59	-1	-1	-1	-1	-1	0&101	-1	82&13	-1	-1	-1	-1	-1	80&85	52&14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	97&110	-1	-1	-1	-1	-1	-1	46&22	50&6	8&1	-1	-1	-1	-1	-1	-1	1&26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20&90	-1	-1	117&71	-1	-1	-1	-1	-1	-1	17&38	-1	-1	-1	59&119	78&70	91&37	-1	
66&54	-1	-1	-1	-1	3&50	-1	10&41	3&37	-1	-1	-1	119&65	-1	-1	-1	100&116	-1	-1	-1	-1	-1	55&5	-1	59&108	-1	70&85	-1	7&80	-1	-1	-1	-1	88&16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	119&102	-1	-1	-1	84&91	-1	28&117	38&75	-1	-1	-1	-1	-1	-1	0&107	-1	-1	56&64	-1	-1	-1	-1	-1	-1	-1	-1	105&36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	118&2	114&12	46&62	
-1	-1	-1	7&52	-1	-1	-1	-1	-1	-1	121&21	-1	-1	-1	-1	33&55	-1	-1	-1	-1	7&116	-1	-1	114&0	-1	-1	4&109	-1	-1	-1	-1	109&113	-1	-1	117&39	-1	-1	-1	-1	64&88	-1	-1	27&102	-1	-1	-1	79&78	-1	
-1	-1	-1	-1	-1	-1	-1	0&76	9&99	-1	-1	-1	-1	-1	-1	65&113	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	55&106	-1	99&117	-1	-1	-1	-1	-1	-1	33&62	-1	-1	75&2	-1	-1	-1	-1	-1	5&51	-1	-1	
-1	-1	28&70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	81&48	-1	-1	2&8	1&100	3&38	-1	1&119	0&70	-1	59&109	-1	-1	75&104	108&8	-1	-1	76&95	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	46&84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32&44	-1	-1	104&98	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28&123	9&42	-1	10&71	-1	-1	-1	-1	-1	-1	-1	79&86	-1	-1	-1	-1	-1	-1	-1	
-1	-1	42&100	-1	-1	-1	12&39	-1	-1	-1	-1	-1	-1	-1	-1	-1	90&27	-1	-1	-1	-1	95&19	33&101	54&80	-1	-1	-1	-1	-1	-1	71&88	-1	-1	-1	-1	-1	60&14	-1	-1	-1	25&97	-1	-1	83&69	-1	9&54	-1	-1	
-1	-1	99&2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13&53	-1	-1	-1	-1	-1	82&99	114&107	-1	-1	-1	-1	-1	-1	-1	0&99	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	92&30	-1	-1	-1	-1	68&97	-1	-1	-1	
