16	16	375
-1	-1	109&328	-1	90&159	0&182	-1	-1	-1	-1	-1	-1	-1	-1	114&136	298&68	
-1	-1	-1	-1	132&50	-1	186&78	9&138	-1	-1	315&363	138&21	153&6	-1	-1	173&149	
-1	1&355	-1	-1	-1	-1	-1	-1	220&341	28&161	-1	-1	81&129	-1	-1	281&317	
65&303	-1	-1	-1	-1	-1	-1	31&24	-1	301&17	-1	274&37	-1	-1	283&338	-1	
-1	-1	-1	112&296	-1	24&5	-1	-1	54&259	301&256	227&37	-1	-1	-1	-1	156&218	
-1	-1	-1	-1	363&97	161&251	304&326	33&288	-1	-1	254&307	-1	-1	-1	-1	-1	
-1	-1	-1	-1	347&17	-1	-1	-1	-1	-1	246&46	-1	-1	185&72	-1	-1	
-1	-1	-1	166&1	-1	-1	298&111	-1	47&267	-1	-1	-1	-1	186&33	-1	-1	
-1	-1	-1	-1	-1	-1	0&369	-1	-1	-1	-1	-1	315&296	238&97	-1	-1	
-1	-1	216&8	-1	-1	90&105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
200&354	-1	65&267	-1	27&368	-1	-1	-1	-1	-1	281&272	-1	-1	-1	208&97	-1	
-1	-1	-1	49&74	-1	-1	-1	-1	104&49	-1	-1	26&249	-1	-1	-1	-1	
113&265	113&54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	348&253	316&198	95&126	
374&10	211&8	-1	238&244	-1	-1	-1	254&136	-1	-1	-1	295&332	-1	-1	-1	-1	
314&179	95&67	277&193	223&329	-1	60&13	-1	-1	285&132	279&362	-1	-1	303&87	-1	59&71	-1	
-1	255&309	5&239	-1	-1	-1	156&353	22&317	-1	18&112	-1	134&24	15&276	27&367	-1	-1	

