16	16	375
-1	-1	112&0&2	-1	0&78&304	288&254&136	-1	-1	-1	-1	-1	-1	-1	-1	66&291&161	0&115&249	
-1	-1	-1	-1	0&1&13	-1	0&2&5	307&2&46	-1	-1	298&68&173	235&113&231	236&57&0	-1	-1	315&371&89	
-1	8&1&67	-1	-1	-1	-1	-1	-1	0&6&81	1&2&253	-1	-1	258&253&76	-1	-1	309&1&318	
65&303&0	-1	-1	-1	-1	-1	-1	281&272&138	-1	27&367&114	-1	320&18&208	-1	-1	243&138&295	-1	
-1	-1	-1	1&2&17	-1	22&317&220	-1	-1	129&315&296	136&283&338	149&281&317	-1	-1	-1	-1	169&241&206	
-1	-1	-1	-1	226&369&156	341&54&259	17&301&256	21&274&37	-1	-1	156&218&95	-1	-1	-1	-1	-1	
-1	-1	-1	-1	353&9&1	-1	-1	-1	-1	-1	126&152&201	-1	-1	147&9&68	-1	-1	
-1	-1	-1	27&1&166	-1	-1	279&362&18	-1	303&87&15	-1	-1	-1	-1	163&248&75	-1	-1	
-1	-1	-1	-1	-1	-1	112&315&363	-1	-1	-1	-1	-1	122&187&337	205&105&130	-1	-1	
-1	-1	1&49&0	-1	-1	47&267&104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
354&113&265	-1	238&244&223	-1	31&24&33	-1	-1	-1	-1	-1	6&87&327	-1	-1	-1	210&239&199	-1	
-1	-1	-1	182&24&5	-1	-1	-1	-1	276&185&72	-1	-1	288&365&62	-1	-1	-1	-1	
374&10&314	255&309&109	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	270&194&172	352&228&356	282&356&202	
179&0&355	328&216&8	-1	161&251&90	-1	-1	-1	26&249&295	-1	-1	-1	291&120&221	-1	-1	-1	-1	
113&54&211	65&267&2	5&90&159	0&60&13	-1	49&6&132	-1	-1	2&33&238	208&5&316	-1	-1	24&166&113	-1	237&60&15	-1	
-1	193&5&239	132&50&363	-1	-1	-1	227&37&254	332&134&24	-1	1&59&71	-1	286&195&161	19&267&298	219&209&43	-1	-1	

